Error standard deviation 0.000



Simulation 0
Simulation success 0

Time step 34 (cs: 158, 0.530) (ws: 12, 0.039) (grb: 1, 0.019) (grb_fair: 30, 0.039) (ws info: 77, 0.000) (e: 0.000, [ 0. -0.  0. -0.])
Time step 35 (cs: 159, 0.540) (ws: 12, 0.037) (grb: 1, 0.018) (grb_fair: 30, 0.038) (ws info: 77, 0.000) (e: 0.000, [-0.  0.  0.  0.])
Time step 36 (cs: 158, 0.544) (ws: 10, 0.030) (grb: 1, 0.019) (grb_fair: 30, 0.040) (ws info: 77, 0.000) (e: 0.000, [ 0.  0. -0.  0.])
Time step 37 (cs: 158, 0.540) (ws: 11, 0.035) (grb: 1, 0.019) (grb_fair: 30, 0.040) (ws info: 77, 0.000) (e: 0.000, [-0. -0. -0.  0.])
Time step 38 (cs: 159, 0.548) (ws: 13, 0.043) (grb: 1, 0.017) (grb_fair: 30, 0.040) (ws info: 77, 0.000) (e: 0.000, [-0. -0. -0. -0.])
Time step 39 (cs: 158, 0.543) (ws: 12, 0.045) (grb: 1, 0.017) (grb_fair: 30, 0.042) (ws info: 77, 0.000) (e: 0.000, [ 0. -0. -0. -0.])
Time step 40 (cs: 158, 0.540) (ws: 12, 0.038) (grb: 1, 0.018) (grb_fair: 30, 0.038) (ws info: 77, 0.000) (e: 0.000, [-0.  0.  0.  0.])
Time step 41 (cs: 159, 0.535) (ws: 13, 0.040) (grb: 1, 0.018) (grb_fair: 30, 0.040) (ws info: 77, 0.000) (e: 0.000, [-0.  0. -0. -0.])
Time step 42 (cs: 158, 0.540) (ws: 12, 0.037) (grb: 1, 0.019) (grb_fair: 30, 0.043) (ws info: 77, 0.000) (e: 0.000, [0. 0. 0. 0.])
Time step 43 (cs: 159, 0.541) (ws: 13, 0.042) (grb: 1, 0.018) (grb_fair: 30, 0.040) (ws info: 77, 0.000) (e: 0.000, [ 0. -0. -0.  0.])
Time step 44 (cs: 159, 0.555) (ws: 12, 0.042) (grb: 1, 0.020) (grb_fair: 30, 0.044) (ws info: 77, 0.000) (e: 0.000, [-0. -0. -0.  0.])
Time step 45 (cs: 158, 0.545) (ws: 10, 0.029) (grb: 1, 0.017) (grb_fair: 30, 0.039) (ws info: 77, 0.000) (e: 0.000, [-0. -0. -0. -0.])
Time step 46 (cs: 158, 0.528) (ws: 10, 0.028) (grb: 1, 0.017) (grb_fair: 30, 0.038) (ws info: 77, 0.000) (e: 0.000, [ 0. -0. -0.  0.])
Time step 47 (cs: 159, 0.540) (ws: 11, 0.033) (grb: 1, 0.017) (grb_fair: 30, 0.038) (ws info: 77, 0.000) (e: 0.000, [-0.  0. -0.  0.])
Time step 48 (cs: 158, 0.547) (ws: 10, 0.029) (grb: 1, 0.017) (grb_fair: 30, 0.037) (ws info: 77, 0.000) (e: 0.000, [-0. -0.  0. -0.])
Time step 49 (cs: 159, 0.536) (ws: 11, 0.032) (grb: 1, 0.019) (grb_fair: 30, 0.043) (ws info: 77, 0.000) (e: 0.000, [0. 0. 0. 0.])
